galaxy_id,distance_mpc,distance_uncertainty_mpc,redshift,redshift_uncertainty
G01,8,2.14,0.002085234077730522,0.00035
G02,12,2.46,0.002292730598649349,0.00035
G03,18,2.94,0.004198368157094486,0.00035
G04,25,3.5,0.004607746289178163,0.00035
G05,32,4.0600000000000005,0.007657182990610311,0.00035
G06,40,4.7,0.008084760286940081,0.00035
G07,55,5.9,0.012386645410752158,0.00035
G08,70,7.1000000000000005,0.015688716956888508,0.00035
G09,85,8.3,0.01865371563769249,0.00035
G10,100,9.5,0.024239860934386834,0.00035
G11,120,11.1,0.026659749640889425,0.00035
G12,145,13.1,0.032931256258742964,0.00035
G13,170,15.1,0.038934508823572675,0.00035
G14,200,17.5,0.044301546824781705,0.00035
G15_outlier,95,9.0,0.025392566746959326,0.00035
